symbol,name,market,asset_type,currency,theme,sector,index_family,expense_ratio_pct,complexity,tags,aliases,is_leveraged,is_inverse,source_market_segment
282A.T,グローバルＸ 半導体・トップ10-日本株式 ETF,jp,etf,JPY,index,index,,0.10,beginner,"low_cost,balanced",グローバルＸ 半導体・トップ10-日本株式 ETF Mirae Asset Japan Semiconductor Top 10 Index（配当込み）,false,false,
294A.T,ＮＥＸＴ ＦＵＮＤＳ ＭＳＣＩジャパン気候変動指数（セレクト）連動型上場投信,jp,etf,JPY,index,index,,0.12,beginner,"low_cost,balanced",ＮＥＸＴ ＦＵＮＤＳ ＭＳＣＩジャパン気候変動指数（セレクト）連動型上場投信 MSCIジャパン気候変動指数（セレクト）（配当込み）,false,false,
315A.T,グローバルＸ 銀行 高配当-日本株式 ETF,jp,etf,JPY,index,index,topix,0.185,beginner,"dividend,balanced",グローバルＸ 銀行 高配当-日本株式 ETF 配当込みTOPIX銀行業高配当指数,false,false,
328A.T,グローバルＸ プライシングパワー・リーダーズ-日本株式 ETF,jp,etf,JPY,index,index,,0.275,beginner,"low_cost,balanced",グローバルＸ プライシングパワー・リーダーズ-日本株式 ETF ブルームバーグ日本株プライシングパワー・セレクト・リーダーズ指数（配当込み）,false,false,
354A.T,iFreeETF ブルームバーグ日本株高配当50指数,jp,etf,JPY,index,index,,0.25,leveraged,,iFreeETF ブルームバーグ日本株高配当50指数 ブルームバーグ日本株高配当50指数（配当込み）,true,false,
566A.T,iFreeETF ブルームバーグ日本株（除く金融）高配当50指数,jp,etf,JPY,index,index,,0.25,leveraged,,iFreeETF ブルームバーグ日本株（除く金融）高配当50指数 ブルームバーグ日本株（除く金融）高配当50指数（配当込み),true,false,
461A.T,ＭＡＸＩＳ日本株高配当ＳＭＡＲＴ５０上場投信,jp,etf,JPY,index,index,,0.28,beginner,"dividend,balanced",ＭＡＸＩＳ日本株高配当ＳＭＡＲＴ５０上場投信 野村日本株高配当SMART50,false,false,
465A.T,グローバルＸ 日経平均株主還元40-日本株式 ETF,jp,etf,JPY,index,index,,0.275,beginner,"low_cost,balanced",グローバルＸ 日経平均株主還元40-日本株式 ETF 日経平均株主還元株40指数（トータルリターン）,false,false,
513A.T,グローバルＸ 防衛テック-日本株式 ETF,jp,etf,JPY,index,index,,0.59,beginner,"low_cost,balanced",グローバルＸ 防衛テック-日本株式 ETF Mirae Asset Japan Defense Tech Index（配当込み）,false,false,
518A.T,ＮＥＸＴ ＦＵＮＤＳ ＦＴＳＥ日本株高配当キャッシュフロー50指数連動型上場投信,jp,etf,JPY,index,index,,0.275,beginner,"dividend,balanced",ＮＥＸＴ ＦＵＮＤＳ ＦＴＳＥ日本株高配当キャッシュフロー50指数連動型上場投信 FTSE日本株高配当キャッシュフロー50指数（配当込み）,false,false,
540A.T,上場インデックスファンド日経銀行株トップ10,jp,etf,JPY,index,index,,0.15,beginner,"low_cost,balanced",上場インデックスファンド日経銀行株トップ10 日経銀行株トップ10指数,false,false,
541A.T,Ｏｎｅ ＥＴＦ ＴＯＰＩＸ高配当株グロース指数,jp,etf,JPY,index,index,topix,0.28,beginner,"dividend,balanced",Ｏｎｅ ＥＴＦ ＴＯＰＩＸ高配当株グロース指数 配当込みTOPIX高配当株グロース指数,false,false,
1490.T,上場インデックスファンドMSCI日本株高配当低ボラティリティ（βヘッジ）,jp,etf,JPY,index,index,,0.45,beginner,"dividend,balanced",上場インデックスファンドMSCI日本株高配当低ボラティリティ（βヘッジ） MSCIジャパンIMIカスタムロングショート戦略85%＋円キャッシュ15%指数,false,false,
1499.T,ＭＡＸＩＳ日本株高配当70マーケットニュートラル上場投信,jp,etf,JPY,index,index,,0.40,beginner,"dividend,balanced",ＭＡＸＩＳ日本株高配当70マーケットニュートラル上場投信 野村日本株高配当70マーケットニュートラル指数,false,false,
2858.T,グローバルＸ 日経225 カバード・コール ETF（プレミアム再投資型）,jp,etf,JPY,index,index,nikkei225,0.275,beginner,"low_cost,balanced",グローバルＸ 日経225 カバード・コール ETF（プレミアム再投資型） 日経平均カバードコールATMインデックス（トータルリターン）,false,false,
2865.T,グローバルＸ NASDAQ100・カバード・コール ETF,jp,etf,JPY,index,index,nasdaq100,0.625,beginner,growth,グローバルＸ NASDAQ100・カバード・コール ETF Cboe NASDAQ-100 BuyWrite V2 Index（円換算）,false,false,
2868.T,グローバルＸ S&P500・カバード・コール ETF,jp,etf,JPY,index,index,sp500,0.635,beginner,"low_cost,balanced",グローバルＸ S&P500・カバード・コール ETF Cboe S&P 500 BuyWrite Index（円換算）,false,false,
379A.T,グローバルＸ S&P500 ETF（ダイナミック・プロテクション）,jp,etf,JPY,index,index,sp500,0.10,beginner,"low_cost,balanced",グローバルＸ S&P500 ETF（ダイナミック・プロテクション） S&P 500 Dynamic Covered Call Index（配当込み、円換算ベース）,false,false,
452A.T,iシェアーズ S&P 500 プレミアムインカム ETF,jp,etf,JPY,index,index,sp500,0.45,beginner,"low_cost,balanced",iシェアーズ S&P 500 プレミアムインカム ETF Cboe S&P 500 エンハンスト 1% OTM バイライト NTR 指数（円建て）,false,false,
453A.T,iシェアーズ 米国債20年超 プレミアムインカム ETF,jp,etf,JPY,index,index,,0.55,beginner,"low_cost,balanced",iシェアーズ 米国債20年超 プレミアムインカム ETF Cboe TLT・2% OTM・バイライト・インデックス（国内投信用、円建て）,false,false,
521A.T,iFreeETF FANG+ゴールド 先物型,jp,etf,JPY,commodity,index,,0.75,beginner,balanced,iFreeETF FANG+ゴールド 先物型 NYSE FANG+ PLUS GOLD指数（配当込み、円ベース）,false,false,
563A.T,グローバルＸ NASDAQ100・デイリー・カバード・コール ETF,jp,etf,JPY,index,index,nasdaq100,0.275,beginner,growth,グローバルＸ NASDAQ100・デイリー・カバード・コール ETF NASDAQ-100 Daily Covered Call Target Premium 15% Index（配当込み、円換算ベース）,false,false,
1345.T,上場インデックスファンドＪリート(東証ＲＥＩＴ指数)隔月分配型,jp,etf,JPY,reit,real_estate,,0.3,beginner,"low_cost,balanced",上場インデックスファンドＪリート(東証ＲＥＩＴ指数)隔月分配型 東証REIT指数,false,false,
1597.T,ＭＡＸＩＳ Ｊリート上場投信,jp,etf,JPY,reit,real_estate,,0.145,beginner,"low_cost,balanced",ＭＡＸＩＳ Ｊリート上場投信 東証REIT指数,false,false,
1398.T,ＳＭＤＡＭ 東証ＲＥＩＴ指数上場投信,jp,etf,JPY,reit,real_estate,,0.22,beginner,"low_cost,balanced",ＳＭＤＡＭ 東証ＲＥＩＴ指数上場投信 東証REIT指数,false,false,
2552.T,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型（ミニ）,jp,etf,JPY,reit,real_estate,,0.245,beginner,"low_cost,balanced",上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型（ミニ） 東証REIT指数,false,false,
2555.T,東証ＲＥＩＴ ＥＴＦ,jp,etf,JPY,reit,real_estate,,0.245,beginner,"low_cost,balanced",東証ＲＥＩＴ ＥＴＦ 東証REIT指数,false,false,
2556.T,Ｏｎｅ ＥＴＦ 東証ＲＥＩＴ指数,jp,etf,JPY,reit,real_estate,,0.155,beginner,"low_cost,balanced",Ｏｎｅ ＥＴＦ 東証ＲＥＩＴ指数 東証REIT指数,false,false,
1343.T,ＮＥＸＴ ＦＵＮＤＳ 東証REIT指数連動型上場投信,jp,etf,JPY,reit,real_estate,,0.155,beginner,"low_cost,balanced",ＮＥＸＴ ＦＵＮＤＳ 東証REIT指数連動型上場投信 東証REIT指数（配当込み）,false,false,
1476.T,iシェアーズ・コア Ｊリート ETF,jp,etf,JPY,reit,real_estate,,0.15,beginner,"low_cost,balanced",iシェアーズ・コア Ｊリート ETF 東証REIT指数（配当込み）,false,false,
1488.T,iFreeETF 東証REIT指数,jp,etf,JPY,reit,real_estate,,0.155,beginner,"low_cost,balanced",iFreeETF 東証REIT指数 東証REIT指数（配当込み）,false,false,
443A.T,iFreeETF 東証REIT指数（2・5・8・11月決算型）,jp,etf,JPY,reit,real_estate,,0.155,beginner,"low_cost,balanced",iFreeETF 東証REIT指数（2・5・8・11月決算型） 東証REIT指数（配当込み）,false,false,
1595.T,NZAM 上場投信 東証REIT指数,jp,etf,JPY,reit,real_estate,,0.145,beginner,"low_cost,balanced",NZAM 上場投信 東証REIT指数 配当込み東証ＲＥＩＴ指数,false,false,
530A.T,NZAM 上場投信 東証REIT指数（2・5・8・11月決算型）,jp,etf,JPY,reit,real_estate,,0.145,beginner,"low_cost,balanced",NZAM 上場投信 東証REIT指数（2・5・8・11月決算型） 配当込み東証REIT指数,false,false,
2517.T,ＭＡＸＩＳ Ｊリート・コア上場投信,jp,etf,JPY,reit,real_estate,,0.145,beginner,"low_cost,balanced",ＭＡＸＩＳ Ｊリート・コア上場投信 東証REIT Core指数,false,false,
360A.T,東証ＲＥＩＴ Ｃｏｒｅ ＥＴＦ,jp,etf,JPY,reit,real_estate,,0.20,beginner,"low_cost,balanced",東証ＲＥＩＴ Ｃｏｒｅ ＥＴＦ 東証REIT Core指数,false,false,
