symbol,canonical_symbol,name,asset_type,market,metadata_source,yahoo_symbol,status,code,reason,recommended_action,policy_allowed,complexity,theme,is_leveraged,is_inverse,message
XYLO,XYLO,Xylo Technologies Ltd ADR キシロ テクノロジーズ ADR,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,balanced,false,false,Yahoo returned no OHLCV bars for this symbol.
WNS,WNS,WNS Holdings WNS ホールディングズ ADR,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,balanced,false,false,Yahoo returned no OHLCV bars for this symbol.
AHI,AHI,Advanced Health Intelligence Limited ADR アドバンスド ヘルス インテリジェンス ADR,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,balanced,false,false,Yahoo returned no OHLCV bars for this symbol.
GENE,GENE,Genetic Technologies Limited ADR ジェネティック テクノロジーズ ADR,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,balanced,false,false,Yahoo returned no OHLCV bars for this symbol.
LIAN,LIAN,LianBio ADR ライアンバイオ ADR,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,balanced,false,false,Yahoo returned no OHLCV bars for this symbol.
LEJU,LEJU,Leju Holdings 楽居集団（レジュ ホールディングス）,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,balanced,false,false,Yahoo returned no OHLCV bars for this symbol.
LFC,LFC,China Life Insurance 中国人寿保険（チャイナ ライフ インシュアランス）,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,balanced,false,false,Yahoo returned no OHLCV bars for this symbol.
SNP,SNP,China Petroleum & Chemical 中国石油化工（シノペック）,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,balanced,false,false,Yahoo returned no OHLCV bars for this symbol.
EBR,EBR,Centrais Eletricas Brasileiras SA ADR ブラジル中央電力 ADR,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,balanced,false,false,Yahoo returned no OHLCV bars for this symbol.
GET,GET,Getnet Adquirencia E Servicos ADR ゲットネット アドクイレンシア ADR,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,balanced,false,false,Yahoo returned no OHLCV bars for this symbol.
CHL,CHL,China Mobile 中国移動（チャイナ モバイル）,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,balanced,false,false,Yahoo returned no OHLCV bars for this symbol.
CHU,CHU,China Unicom Hong Kong 中国聯通（チャイナ ユニコム） ホンコン,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,balanced,false,false,Yahoo returned no OHLCV bars for this symbol.
BSMX,BSMX,Santander Mexico サンタンデール メキシコ,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,balanced,false,false,Yahoo returned no OHLCV bars for this symbol.
MBT,MBT,Mobile Telesystems モバイル テレシステムズ,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,balanced,false,false,Yahoo returned no OHLCV bars for this symbol.
MTL,MTL,Mechel メケル,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,balanced,false,false,Yahoo returned no OHLCV bars for this symbol.
ASLN,ASLN,ASLAN Pharmaceuticals Limited ADR アスラン ファーマシューティカルズ ADR,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,balanced,false,false,Yahoo returned no OHLCV bars for this symbol.
AVDL,AVDL,Avadel Pharmaceuticals plc ADR アバデル ファーマシューティカルズ ADR,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,balanced,false,false,Yahoo returned no OHLCV bars for this symbol.
CIAN,CIAN,Cian PLC ADR シアン PLC ADR,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,balanced,false,false,Yahoo returned no OHLCV bars for this symbol.
LOV,LOV,Spark Networks SE ADR スパーク ネットワークス SE ADR,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,balanced,false,false,Yahoo returned no OHLCV bars for this symbol.
OZON,OZON,Ozon Holdings PLC オゾン・ホールディングス,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,balanced,false,false,Yahoo returned no OHLCV bars for this symbol.
SOL,SOL,Emeren Group Ltd ADR エメレン グループ ADR,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,balanced,false,false,Yahoo returned no OHLCV bars for this symbol.
