symbol,name,market,asset_type,case_type,as_of,lookback_days,forward_days,upward_signal_score,upside_signal_score,downside_signal_score,risk_signal_score,chart_shape_label,signal_reason,forward_return_20d,forward_return_60d,forward_return_120d,max_drawdown_after_signal,benchmark_return,excess_return,success_flag,false_positive_flag,adjustment_note
GM,General Motors ゼネラル モーターズ,us,stock,sideways,2019-03-19,60,60,83.24,86.3500,0,100,蓄積上昇準備,形状は「蓄積上昇準備」。予測は上向き。下落安全性は相対的に良好。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,3.632086158928845313105003900,-5.879278738141619751118974730,3.423050320411652018126110800,-17.27046951919574481927955322,,,False,True,
GM,General Motors ゼネラル モーターズ,us,stock,chart_shape,2021-07-23,60,60,87.21,66.1000,2.2258673765246,97.7741326234754,押し目反発待ち,形状は「押し目反発待ち」。予測は上向き。下落安全性は相対的に良好。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-11.17582734460332524046018632,3.549328015438767317786102200,11.08482035823577196831247280,-16.75881234266763360486303296,,,False,True,
GM,General Motors ゼネラル モーターズ,us,stock,already_rising,2023-11-29,60,60,45.51,44.5500,18.323804691774754,81.676195308225246,上昇済み・兆候薄め,形状は「上昇済み・兆候薄め」。予測は上向き。下落安全性は相対的に良好。危険条件は上限固定ではなく8点減点。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,14.55696305676998660711606670,27.15189816496766200879699400,39.14557180349649401459793620,-5.776563727011107553792791800,,,True,False,
GM,General Motors ゼネラル モーターズ,us,stock,already_rising,2026-04-13,60,60,48.30,52.9000,23.435671080275355,76.564328919724645,上昇済み・兆候薄め,形状は「上昇済み・兆候薄め」。予測は上向き。下落安全性は相対的に良好。危険条件は上限固定ではなく5点減点。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-2.004426498535994521611207830,-0.2342838746400157822338544900,,-10.68618110430138531390108975,,,False,False,
HD,Home Depot,us,stock,chart_shape,2016-11-07,60,60,11.95,0,75,25,反転材料弱め,形状は「反転材料弱め」。予測の上向き材料は不足。下落安全性を確認。危険条件は上限固定ではなく28点減点。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,4.032327671243684848484848500,11.49898644649621010101010100,25.21211874605430303030303030,-4.197153886378726953744588390,,,True,False,
HD,Home Depot,us,stock,sideways,2019-03-19,60,60,84.31,71.7500,0,100,横ばい上放れ候補,形状は「横ばい上放れ候補」。予測は上向き。下落安全性は相対的に良好。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,11.04654092136465490359607870,9.895183151870895651199654200,26.47042249599408111811709550,-8.615517343955036270413961320,,,True,False,
HD,Home Depot,us,stock,already_rising,2021-07-23,60,60,57.74,52.7500,0,100,上昇済み・兆候薄め,形状は「上昇済み・兆候薄め」。予測は上向き。下落安全性は相対的に良好。危険条件は上限固定ではなく5点減点。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-1.081602614807436313997391290,6.660862177521469752451157000,16.99314931525703594221354030,-4.821958456973293768545994070,,,False,False,
HD,Home Depot,us,stock,chart_shape,2023-11-29,60,60,58.46,44.3000,15.909532785616374,84.090467214383626,反転材料弱め,形状は「反転材料弱め」。予測は上向き。下落安全性は相対的に良好。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,11.68413530369366603810609280,20.75108058153933733628050620,6.292202435695680117586951100,-4.446324924964689265536723160,,,True,False,
HD,Home Depot,us,stock,already_rising,2026-04-13,60,60,55.05,59.9000,3.01404138723687,96.98595861276313,上昇済み・兆候薄め,形状は「上昇済み・兆候薄め」。予測は上向き。下落安全性は相対的に良好。危険条件は上限固定ではなく5点減点。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-8.723182508550977070934126190,-0.7122736105337850729636729600,,-15.23689619554065474679251976,,,False,False,
KO,Coca-Cola,us,stock,chart_shape,2016-11-07,60,60,26.90,18.4500,55,45,反転材料弱め,形状は「反転材料弱め」。予測の上向き材料は不足。下落安全性は相対的に良好。危険条件は上限固定ではなく14点減点。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-4.451246892135700533331427150,-2.166740906223310103880833030,2.190297515846812700259782000,-6.319969290264387188816234980,,,False,False,
KO,Coca-Cola,us,stock,sideways,2019-03-19,60,60,77.30,60.3000,0,100,蓄積上昇準備,形状は「蓄積上昇準備」。予測は上向き。下落安全性は相対的に良好。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,3.050920429654121673071438100,12.22563548492244125691852430,19.66637141000031223282086600,-3.383611498053969182392634300,,,True,False,
KO,Coca-Cola,us,stock,chart_shape,2021-07-23,60,60,50.67,43.1000,35,65,反転材料弱め,形状は「反転材料弱め」。予測は上向き。下落安全性は相対的に良好。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-0.6490070913491116610077378100,-5.385019795141177749294302140,6.191900890936931666866526900,-8.716072305901561355860497300,,,False,False,
KO,Coca-Cola,us,stock,sideways,2023-11-29,60,60,65.55,41.3500,15,85,蓄積上昇準備,形状は「蓄積上昇準備」。予測は上向き。下落安全性は相対的に良好。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,0.893011268850336867255484900,3.623562814595421818387941900,8.191654637235254853397371000,-3.871182517954794853341923510,,,False,True,
KO,Coca-Cola,us,stock,sideways,2026-04-13,60,60,72.04,49.1500,0,100,蓄積上昇準備,形状は「蓄積上昇準備」。予測は上向き。下落安全性は相対的に良好。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,2.944640612699960626914370700,8.140286995422557756459026000,,-6.225584214007497229594622770,,,True,False,
SMH,ヴァンエック ベクトル半導体ETF,us,etf,etf,2016-11-07,60,60,49.70,33.6000,15,85,反転材料弱め,形状は「反転材料弱め」。予測の上向き材料は不足。下落安全性は相対的に良好。危険条件は上限固定ではなく3点減点。ETFには個別株の配当罠判定を適用しません。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,2.376446959965865332606501200,10.23473486990541724586249030,16.78087585765346089704452460,-5.619856129895690054191822520,,,True,False,
SMH,ヴァンエック ベクトル半導体ETF,us,etf,etf,2019-03-19,60,60,30.83,41.1000,55,45,上昇済み・兆候薄め,形状は「上昇済み・兆候薄め」。予測は上向き。下落安全性は相対的に良好。危険条件は上限固定ではなく13点減点。ETFには個別株の配当罠判定を適用しません。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,8.119455739009928216153463800,-1.745219523987012155671248510,12.00186694094037586758314800,-17.95986287757928605176852561,,,False,False,
SMH,ヴァンエック ベクトル半導体ETF,us,etf,etf,2021-07-23,60,60,62.81,77.8500,0,100,上昇済み・兆候薄め,形状は「上昇済み・兆候薄め」。予測は上向き。下落安全性は相対的に良好。危険条件は上限固定ではなく5点減点。ETFには個別株の配当罠判定を適用しません。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-0.3614288930104572488905317000,2.852588864612305212463554200,18.86828660122819418734951990,-9.443191900329443748575676650,,,False,False,
SMH,ヴァンエック ベクトル半導体ETF,us,etf,etf,2023-11-29,60,60,63.62,58.0000,0,100,反転材料弱め,形状は「反転材料弱め」。予測は上向き。下落安全性は相対的に良好。ETFには個別株の配当罠判定を適用しません。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,8.390358206666692805681954500,29.30152075213098398464001310,45.85413140092345233247015400,-6.181050312442490045276008130,,,True,False,
